,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
1,0.19816148,0.29509202,1.0495427,0.09905206,-0.17450601,-0.2948205,-0.0037443007,-0.22987151,-0.12358216,0.374842,0.031848427,0.52240217,-0.19846861,-0.47081304,0.14851029,0.0999403,-0.34342805,-0.086174704,-0.01204992,-0.6377949,0.08161514,-0.29248226,0.40447193,-0.22408074,-0.15809166,-0.51338327,0.22179386,-0.08459707,-0.37914652,0.33343917,0.08923069,-0.115200795,-0.33927822,0.103791334,-0.74784577,0.51327825,-0.05978899,-0.3581654,0.03486319,0.30481625,0.2609924,0.1831069,0.28480992,-0.429978,0.12146833,-0.16563006,0.18208359,-0.1988009,0.30658105,0.10231592,-0.056624617,0.15693618,0.26577938,0.19316891,0.060728494,-0.089162216,-0.4681976,-0.24111822,0.00021088748,0.20706299,-0.17670748,0.38885984,0.41728893,-0.18414937
2,0.08544497,0.5081547,0.1236934,-0.35023177,0.24335793,-0.09530345,0.101830006,-0.40339813,-0.26572612,-0.116506405,0.026493229,-0.2884608,0.12878725,-0.16156168,0.10479735,0.07626259,-0.30402935,-0.04165267,0.6683735,-0.14319256,0.09622252,0.21991761,0.084512986,-0.08121233,-0.18428311,-0.44897985,-0.11874777,0.32237205,0.008255221,0.27493924,-0.39051086,-0.32392347,-0.27335078,0.22223781,0.20801874,-0.34330747,-0.28785703,-0.20364407,-0.33911866,0.13365303,0.027593391,-0.19684215,-0.3505985,-0.22954038,0.21155305,-0.4112206,0.26816556,0.62393963,-0.064176545,-0.23048045,-0.07224364,-0.3029938,-0.13337232,-0.1074755,-0.30355117,0.24196176,-0.31288,0.080851,-0.19016694,-0.006510166,0.10724612,-0.30696794,0.40236518,-0.38297057
3,0.0010637081,0.14451703,-0.062030163,-0.45544735,0.44442636,-0.10313211,-0.41931176,0.1434395,-0.056352325,-0.21869658,0.10801363,-0.20963566,0.11176913,-0.2520878,-0.31783268,-0.2124264,-0.43929884,0.062869206,-0.056675546,-0.3404089,-0.16181485,0.025979653,0.20541067,-0.08102033,0.19779372,-0.19548039,0.25726372,-0.35947555,-0.33189613,-0.15763788,0.30349258,0.39867148,0.3100248,-0.30057925,-0.19365576,0.03984312,-0.2763364,-1.0697309,-0.35508287,-0.45409793,-0.1266108,-0.18325354,0.19060914,0.041750837,-0.1947282,-0.31181794,0.12942055,0.44623297,-0.37874433,0.3349675,0.07546249,-0.034393553,-0.5222417,-0.30013207,0.22359845,0.31432804,-0.3596784,0.44738325,0.21990736,0.06349745,-0.11205333,-0.12671725,-0.28341898,-0.4246987
4,-0.14642434,0.14569837,0.17989881,0.2882746,-0.23175783,-0.09604427,-0.3790762,-0.051532768,-0.6563307,-0.26470095,-0.23188807,-0.37021485,0.17787224,-0.09328164,-0.07614042,-0.35001597,-0.5199476,-0.33725607,0.17962806,-0.49054742,0.26719615,0.065580614,-0.17961691,-0.19815344,0.24510254,0.306013,0.29210392,-0.10404308,-0.5255665,0.29524463,0.20823148,0.17851785,0.07747095,0.3595796,-0.0020098889,-0.18605976,-0.014524536,0.26736322,-0.1850641,-0.33262447,0.015233704,0.26667038,0.07410131,0.3447593,0.302939,-0.039187215,-0.093570806,-0.020087233,0.26581824,-0.539615,-0.46599036,0.076355815,-0.16587397,-0.16017535,-0.47184476,0.23239301,-0.08269898,-0.059708573,0.077274084,-0.084041975,0.11288812,-0.034806874,-0.013950919,0.11599226
5,-0.6036377,0.09689073,0.29031143,0.16144817,-0.17921054,-0.584795,0.3306071,-0.11206247,-0.20272402,-0.5622831,0.45659795,-0.07693321,-0.55083805,-0.14896809,-0.07239442,0.06619322,-0.73470736,0.36518398,0.09532938,-0.2922074,-0.027953118,-0.24098475,0.07794402,0.019824032,-0.30936104,0.1717526,-0.1566477,0.36547086,-0.02101028,-0.0036527119,-0.35765976,-0.07875426,-0.04757211,0.41830808,-0.4080525,-0.17753564,0.37583843,-0.06455815,0.11563679,-0.6485349,-0.3116961,-0.16597718,0.2795579,0.33690524,-0.2414903,-0.12713787,0.53233266,-0.038295005,-0.36551026,0.42247957,-0.4439451,0.05467915,0.2348323,0.1717062,-0.4957494,-0.023476558,0.7829639,0.28701648,-0.17380194,-0.07678621,-0.48315495,-0.05095176,-0.35070974,-0.20067587
6,-0.18836264,0.8798175,-0.0760335,-0.1666996,-0.16025023,0.47042623,-0.37157813,0.74223,-0.08916967,0.2678622,0.3805437,0.4477649,0.699846,0.35427192,-0.05000335,0.056383356,-0.28978097,0.6728069,0.48802942,-0.4996297,-0.33037764,-0.028902743,-0.17556836,-0.046988823,0.04780818,-0.009717931,0.04995341,-0.08347479,0.22882023,-0.15147288,-0.05456792,0.031090245,0.03378937,0.25378293,-0.09350093,-0.21177302,0.33825335,-0.247909,0.13998054,-0.19645195,-0.3491836,0.5590978,-0.15930499,-0.21918382,0.34981245,-0.514474,0.20107819,0.3055893,-0.27888194,-0.10648089,-0.11387905,0.18052402,0.32934254,0.46789917,-0.13866268,0.5878075,-0.22596624,-0.11563088,0.1591735,-0.16225137,-0.0031982202,0.37590852,-0.3379603,0.14911175
7,-0.08872273,0.15680155,-0.37260827,-0.24454823,-0.07942268,0.22119026,0.6801226,-0.15637143,0.03599335,-0.036794066,-0.04135622,0.05193914,-0.1425808,0.10258078,-0.26059297,0.24390611,-1.0757234,-0.08661069,0.23339006,-0.65588754,-0.6471898,0.25080445,0.64587945,-0.0113177495,0.143494,-0.46998844,0.012929828,-0.028475318,0.03452722,-0.35494047,0.119690776,0.10190829,-0.3587737,0.01286776,0.28897572,0.23157613,0.16261719,0.329197,-0.26220542,-0.40945944,-0.0012465572,-0.14761114,-0.1871058,-0.19923003,0.050098263,-0.055889454,0.31841335,-0.44869834,0.23680902,-0.37328714,-0.019759597,0.5873519,-0.1509977,-0.41693416,-0.086339384,-0.24463843,-0.2795945,0.045353968,0.26476762,0.08702853,-0.27237672,-0.5847217,0.2237733,0.25736064
8,-0.66248417,-0.60397774,-0.09167741,0.035481956,0.008700012,-0.95827234,-0.8075619,0.10382538,0.81632006,0.2294109,0.18889967,0.5747874,-1.1631497,0.38103333,-0.032533117,0.77518785,0.36120278,-0.3655537,1.0380229,-0.79409164,-0.3457613,-0.008941544,-0.6578474,0.94649917,0.5370228,0.4414659,-0.22527228,-1.0832597,0.56499636,-0.060515147,0.4609336,0.15496863,-0.45755875,-0.7843491,0.54853123,-0.03541429,-0.65569675,0.530027,0.08945981,0.212298,-0.046140425,0.46379295,0.18508321,-0.069444515,0.5952915,0.32025892,0.34055018,0.5684943,-0.22068657,-0.024062388,-0.86642325,-0.36277995,0.11645984,0.5960301,-1.219864,0.9552971,-0.9885459,-0.017919308,0.016882705,-0.19882868,-0.8575784,-0.14830804,0.029261958,-0.43066746
9,-0.48201185,-0.34990534,-0.0118018,0.3501656,0.032431535,0.061578646,0.24914119,-0.16912425,0.13328841,0.15811312,-0.1433393,0.007310501,0.07757487,0.0022202132,-0.17339656,0.42486322,-0.37446216,0.42596915,0.31639975,0.30421463,0.29037765,-0.102517605,-0.06367382,-0.5804422,-0.3723538,0.90130216,-0.0005957838,0.0944113,-0.24087216,0.2728049,-0.096763276,0.023123913,-0.0136389015,-0.26429847,-0.0919271,0.16826546,0.3179902,-0.61901003,-0.47393665,0.22097763,0.33006755,1.0565159,-0.1518524,-0.2655168,-0.28707415,-0.19165473,0.15318808,0.12692231,0.017094983,0.14702402,-0.6261199,0.50750464,-0.09457282,-0.754788,-0.37242973,-0.59129775,-0.66629446,0.5219446,-0.3353089,0.57699174,0.23395434,-0.1133623,0.13338284,-0.31170857
11,0.026142377,0.4383307,0.1912308,0.45490706,0.70440346,-0.27058002,0.09262525,-0.019884987,-0.17924166,-0.29332003,-0.06358036,0.52158105,0.24165536,-0.18541625,-0.58313346,-0.19066201,-0.33064777,0.2638131,-0.015185788,0.24331899,-0.2921194,-0.067238435,-0.3539205,-0.2851304,0.2545805,0.5343857,0.34606698,-0.0029639232,-0.27925017,-0.18112849,0.44693464,-0.41144657,-0.25693727,0.066258505,0.23131086,-0.012008188,-0.24860324,0.19021262,0.16116874,0.19536468,-0.32044834,0.18673311,-0.13930036,0.1572357,0.26550603,-0.0773665,0.42049667,-0.24865374,-0.70360357,0.21916273,0.23644453,0.3903251,-0.33786836,-0.113115594,0.045752175,-0.022537472,0.19883627,-0.3090832,-0.04495204,0.21319155,-0.3021737,0.070409216,0.56344956,-0.19079928
